rp_id,label,floor,wing,orientation,survey_date,n_readings,n_anchors_seen,vector
1,Près des ascenceurs (réservé personnel),E2,A,SUD,2026-04-07,601,18,"[-100.0, -74.44680786132812, -100.0, -100.0, -94.5, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -91.60869598388672, -100.0, -100.0, -100.0, -82.28260803222656, -100.0, -100.0, -100.0, -66.61701965332031, -100.0, -90.61289978027344, -96.5, -81.34042358398438, -100.0, -100.0, -100.0, -100.0, -93.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -81.4888916015625, -100.0, -100.0, -96.33333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -79.10638427734375, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -78.95744323730469, -100.0, -100.0, -100.0, -100.0, -100.0, -83.7021255493164, -100.0, -100.0, -100.0, -100.0, -100.0, -91.93548583984375, -100.0, -100.0, -72.7872314453125, -100.0, -100.0, -89.57142639160156, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -75.38298034667969, -100.0, -100.0, -100.0, -100.0, -100.0]"
2,"Près de la porte gauche de couloir , chambre 213 et chambre 214",E2,A,SUD,2026-04-07,494,20,"[-100.0, -87.69230651855469, -100.0, -100.0, -100.0, -100.0, -79.76470947265625, -82.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -75.94444274902344, -100.0, -100.0, -100.0, -88.42857360839844, -100.0, -100.0, -100.0, -83.40625, -100.0, -86.20833587646484, -100.0, -85.66666412353516, -100.0, -100.0, -100.0, -100.0, -80.1515121459961, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -71.97368621826172, -100.0, -100.0, -87.55555725097656, -100.0, -100.0, -100.0, -100.0, -100.0, -85.6551742553711, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -81.5625, -100.0, -100.0, -100.0, -100.0, -100.0, -86.22222137451172, -100.0, -89.19999694824219, -100.0, -100.0, -100.0, -75.9142837524414, -100.0, -84.78125, -82.11764526367188, -100.0, -100.0, -89.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -87.33333587646484, -100.0, -100.0, -100.0, -100.0, -100.0]"
3,Près de chambre 221 et chambre 216,E2,A,SUD,2026-04-07,182,19,"[-100.0, -85.5, -100.0, -100.0, -100.0, -100.0, -81.45454406738281, -85.30769348144531, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.33333587646484, -100.0, -100.0, -100.0, -86.11111450195312, -100.0, -100.0, -100.0, -81.14286041259766, -100.0, -87.85713958740234, -100.0, -80.07142639160156, -100.0, -100.0, -100.0, -100.0, -79.54545593261719, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -71.92857360839844, -100.0, -100.0, -86.5, -100.0, -100.0, -100.0, -100.0, -100.0, -81.66666412353516, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -78.23076629638672, -100.0, -100.0, -100.0, -100.0, -100.0, -85.80000305175781, -100.0, -100.0, -100.0, -100.0, -100.0, -77.30769348144531, -100.0, -87.5, -82.5, -100.0, -100.0, -86.33333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -87.4000015258789, -100.0, -100.0, -100.0, -100.0, -100.0]"
4,Près de chambre 218 / 217 et 219,E2,A,SUD,2026-04-07,986,19,"[-100.0, -90.5, -100.0, -100.0, -100.0, -100.0, -75.42528533935547, -77.75, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -62.38888931274414, -100.0, -100.0, -100.0, -97.0, -100.0, -100.0, -100.0, -92.0, -100.0, -90.46154022216797, -100.0, -91.65957641601562, -100.0, -100.0, -100.0, -100.0, -81.90666961669922, -100.0, -100.0, -100.0, -100.0, -93.11111450195312, -100.0, -100.0, -90.84782409667969, -100.0, -100.0, -92.0, -100.0, -100.0, -100.0, -100.0, -100.0, -92.65714263916016, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -88.93055725097656, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.11235809326172, -100.0, -100.0, -100.0, -84.65116119384766, -100.0, -74.11235809326172, -93.5999984741211, -100.0, -100.0, -93.05660247802734, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]"
5,Près de la porte droite et chambre 202,E2,A,SUD,2026-04-07,411,23,"[-100.0, -82.85713958740234, -100.0, -100.0, -100.0, -100.0, -83.18181610107422, -82.75, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -97.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -75.75, -100.0, -100.0, -100.0, -72.9473648071289, -100.0, -100.0, -100.0, -80.76923370361328, -100.0, -85.78571319580078, -100.0, -78.33333587646484, -100.0, -100.0, -100.0, -100.0, -80.80000305175781, -100.0, -100.0, -100.0, -100.0, -95.33333587646484, -100.0, -100.0, -82.13636016845703, -100.0, -100.0, -85.72000122070312, -100.0, -100.0, -100.0, -100.0, -100.0, -80.22222137451172, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -71.0999984741211, -100.0, -100.0, -100.0, -100.0, -100.0, -83.72222137451172, -100.0, -79.57142639160156, -100.0, -100.0, -100.0, -79.4000015258789, -100.0, -81.0, -79.72000122070312, -100.0, -100.0, -82.05000305175781, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -86.66666412353516, -100.0, -100.0, -100.0, -100.0, -100.0, -84.06666564941406, -100.0, -100.0, -100.0, -100.0, -100.0]"
6,"Dans l'intersection des chambres 201 , 202, 212 et salle d'attente",E2,A,SUD,2026-04-07,585,21,"[-100.0, -91.5, -100.0, -100.0, -100.0, -100.0, -93.0, -91.42857360839844, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -88.1891860961914, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -87.0, -100.0, -100.0, -91.35294342041016, -64.55555725097656, -100.0, -100.0, -100.0, -87.47368621826172, -100.0, -100.0, -100.0, -72.95555877685547, -100.0, -100.0, -100.0, -90.76470947265625, -93.5, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -90.71428680419922, -100.0, -100.0, -79.84444427490234, -100.0, -100.0, -100.0, -100.0, -100.0, -74.19999694824219, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -58.44444274902344, -100.0, -100.0, -100.0, -100.0, -100.0, -89.5, -100.0, -100.0, -100.0, -100.0, -100.0, -90.0, -100.0, -100.0, -87.80000305175781, -100.0, -100.0, -69.57777404785156, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -83.80952453613281, -100.0, -100.0, -100.0, -100.0, -100.0, -90.63636016845703, -100.0, -100.0, -100.0, -100.0, -100.0]"
7,"Dans l'intersection des chambres 211 , 207, 204 et Stock",E2,A,SUD,2026-04-07,590,22,"[-100.0, -93.66666412353516, -95.0, -100.0, -100.0, -100.0, -95.0, -93.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -83.32608795166016, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -86.66666412353516, -100.0, -100.0, -89.79486846923828, -81.40425872802734, -100.0, -100.0, -100.0, -92.28947448730469, -100.0, -100.0, -100.0, -79.48936462402344, -100.0, -100.0, -100.0, -89.63157653808594, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -94.88888549804688, -100.0, -100.0, -79.29166412353516, -100.0, -100.0, -100.0, -100.0, -100.0, -82.79166412353516, -100.0, -100.0, -100.0, -100.0, -100.0, -98.0, -100.0, -100.0, -100.0, -100.0, -100.0, -67.45833587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -96.5, -100.0, -100.0, -100.0, -100.0, -100.0, -98.0, -100.0, -100.0, -91.75, -100.0, -100.0, -60.41666793823242, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -78.97872161865234, -100.0, -100.0, -100.0, -100.0, -100.0, -97.0, -100.0, -100.0, -100.0, -100.0, -100.0]"
8,"Dans l'intersection des chambres 208, 207, 209 et 206",E2,A,SUD,2026-04-07,617,26,"[-100.0, -96.0, -94.16666412353516, -100.0, -100.0, -100.0, -100.0, -95.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.0, -93.0, -100.0, -100.0, -100.0, -100.0, -91.69999694824219, -93.70587921142578, -100.0, -88.18181610107422, -100.0, -100.0, -76.74468231201172, -92.5, -100.0, -100.0, -100.0, -93.625, -100.0, -100.0, -100.0, -89.9749984741211, -100.0, -100.0, -100.0, -79.08333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -64.625, -100.0, -100.0, -100.0, -100.0, -100.0, -89.26829528808594, -100.0, -100.0, -100.0, -100.0, -95.0, -90.82857513427734, -100.0, -100.0, -93.34782409667969, -100.0, -100.0, -78.625, -100.0, -100.0, -100.0, -92.76470947265625, -100.0, -100.0, -100.0, -100.0, -95.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.0, -100.0, -100.0, -73.9375, -100.0, -100.0, -100.0, -100.0, -94.75, -100.0, -100.0, -80.125, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.5999984741211, -100.0]"
9,Couloir coté Terrace RDC,E2,A,SUD,2026-04-07,559,25,"[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -86.46154022216797, -100.0, -100.0, -100.0, -100.0, -100.0, -80.76190185546875, -85.31578826904297, -100.0, -87.5999984741211, -100.0, -100.0, -72.79069519042969, -90.5, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -90.84615325927734, -100.0, -100.0, -100.0, -72.25581359863281, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -88.0, -100.0, -57.72093200683594, -100.0, -100.0, -100.0, -100.0, -100.0, -89.66666412353516, -100.0, -100.0, -100.0, -100.0, -88.55000305175781, -82.88571166992188, -100.0, -87.86363983154297, -80.46154022216797, -100.0, -100.0, -86.38461303710938, -100.0, -100.0, -100.0, -93.0, -100.0, -100.0, -100.0, -100.0, -88.91304016113281, -93.16666412353516, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -83.75, -100.0, -100.0, -100.0, -100.0, -83.5897445678711, -100.0, -100.0, -86.03571319580078, -100.0, -94.5, -100.0, -100.0, -100.0, -100.0, -100.0, -87.61538696289062, -100.0, -100.0, -93.0]"
10,salle d'attente,RDC,C,Bloc opératoire général,2026-04-08,446,13,"[-100.0, -95.5, -100.0, -81.26667022705078, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.4000015258789, -100.0, -100.0, -89.05714416503906, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -88.55813598632812, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -77.37777709960938, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.0, -100.0, -100.0, -65.2272720336914, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -92.96774291992188, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -75.9772720336914, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -74.88888549804688, -100.0, -100.0, -100.0, -100.0, -83.76744079589844, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -82.46666717529297, -100.0, -100.0, -100.0, -100.0]"
